Country,Flag,Flag_Image_URL,Capital,Population_2024,Area_km2,Official_Language,Region,Type,Fact
Poland,🇵🇱,,Warsaw,37654247,312696,Polish,Europe,Country,"Poland's white-and-red flag dates to a 13th-century coat of arms; Polish mathematicians cracked the Enigma code before WWII — a feat overlooked for decades."
Portugal,🇵🇹,,Lisbon,10247605,92090,Portuguese,Europe,Country,"Has the world's oldest national borders — unchanged since 1139 AD; the armillary sphere on its flag represents Portugal's Age of Discovery and global maritime empire."
Puerto Rico,🇵🇷,,San Juan,3200000,9104,Spanish,Americas,Unincorporated Territory,"Puerto Ricans are US citizens who cannot vote in presidential elections; its flag was deliberately modeled on the Cuban flag with the triangle colors inverted."
Qatar,🇶🇦,,Doha,2695122,11586,Arabic,Asia,Country,"The unique maroon color on its flag is found on no other national flag; Qatar is the world's largest exporter of liquefied natural gas (LNG) per capita."
Quebec,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Flag_of_Quebec.svg,Quebec City,8800000,1542056,French,Americas,Province,"The only Canadian province with a French-speaking majority; it held two independence referendums in 1980 and 1995 — the 1995 vote failed by less than 1%."
Romania,🇷🇴,,Bucharest,18326327,238391,Romanian,Europe,Country,"Romania's flag is nearly identical to Chad's — both are vertical blue-yellow-red tricolors — leading to occasional diplomatic confusion at international events."
Russia,🇷🇺,,Moscow,144444359,17098242,Russian,Europe,Country,"The largest country in the world spanning 11 time zones; its white-blue-red tricolor directly inspired the flags of many other Slavic nations."
Rwanda,🇷🇼,,Kigali,14094683,26338,Kinyarwanda,Africa,Country,"Rebuilt from the devastating 1994 genocide to become one of Africa's fastest-growing economies; the sun on its flag symbolizes enlightenment and a new era of transparency."
Saint Kitts and Nevis,🇰🇳,,Basseterre,47755,261,English,Americas,Country,"The smallest country in the Western Hemisphere; the two white stars on its flag represent hope and liberty for each of its two islands."
Saint Lucia,🇱🇨,,Castries,180251,539,English,Americas,Country,"The black and white triangle on its flag symbolizes cultural harmony; the yellow background represents sunshine and the famous twin Pitons — volcanic peaks recognized as a UNESCO site."
Saint Vincent and the Grenadines,🇻🇨,,Kingstown,103698,389,English,Americas,Country,"The three green diamonds in a 'V' shape on its flag represent the 'Gems of the Antilles'; the country grows over 90% of the world's arrowroot."
Samoa,🇼🇸,,Apia,225681,2831,Samoan,Oceania,Country,"One of the first countries to greet each new year; the Southern Cross on its flag has guided Pacific Islander navigation for thousands of years."
San Marino,🇸🇲,,San Marino,33642,61,Italian,Europe,Country,"Claims to be the world's oldest republic — founded in 301 AD; it is completely surrounded by Italy and has no access to the sea."
Sao Tome and Principe,🇸🇹,,São Tomé,231856,964,Portuguese,Africa,Country,"Has the highest biodiversity density in Africa; the three stars on its flag represent its main islands including the uninhabited Rolas Island."
Saudi Arabia,🇸🇦,,Riyadh,36947025,2149690,Arabic,Asia,Country,"The Shahada (Islamic declaration of faith) on its flag makes it one of the few to include religious text; it contains the world's largest oil field — the Ghawar Field."
Scotland,,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_Scotland.svg,Edinburgh,5500000,77933,English,Europe,Constituent Nation,"The Saltire (St. Andrew's Cross) is one of the oldest national flags in the world dating to 832 AD; Scotland is credited with inventing golf, the telephone, television, and penicillin."
Senegal,🇸🇳,,Dakar,18501984,196722,French,Africa,Country,"The green star on its flag represents Islam and progress; Dakar sits at the westernmost point of mainland Africa and was a key hub for trans-Atlantic trade."
Serbia,🇷🇸,,Belgrade,6664449,77474,Serbian,Europe,Country,"Nikola Tesla was born in what is now Serbia; Serbia's coat of arms with the double-headed eagle is one of Europe's oldest continuous heraldic traditions."
Seychelles,🇸🇨,,Victoria,107660,455,English,Africa,Country,"Its flag's radiating stripes from a corner are unique among all national flags; the Seychelles is Africa's smallest country by both area and population."
Sicily,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Sicily.svg,Palermo,4800000,25711,Italian,Europe,Autonomous Region,"Its flag features the Trinacria — a three-legged figure with Medusa's head surrounded by wheat — one of the world's most distinctive and ancient regional flag symbols."
Sierra Leone,🇸🇱,,Freetown,8791092,71740,English,Africa,Country,"Its capital Freetown was founded in 1787 as a settlement for freed slaves; the green-white-blue flag represents forests, unity, and the sea."
Singapore,🇸🇬,,Singapore,6014723,719,English,Asia,Country,"One of only three city-states in the world; the crescent and five stars on its flag represent a young nation and its five ideals: democracy, peace, progress, justice, and equality."
Slovakia,🇸🇰,,Bratislava,5795199,49035,Slovak,Europe,Country,"The double cross on its coat of arms represents the Byzantine missionaries Cyril and Methodius who brought Christianity and literacy to the region in the 9th century."
Slovenia,🇸🇮,,Ljubljana,2119675,20273,Slovene,Europe,Country,"The Triglav mountain on its coat of arms is its highest peak; Slovenia was the first Yugoslav republic to join both the EU and NATO in 2004."
Solomon Islands,🇸🇧,,Honiara,740424,28896,English,Oceania,Country,"The five stars on its flag represent the five main island groups; Guadalcanal here was the site of a turning-point campaign in the Pacific theater of World War II."
Somalia,🇸🇴,,Mogadishu,18143378,637657,Somali,Africa,Country,"The blue on its flag was inspired by the UN flag in gratitude for the UN's role in Somali independence; the five-pointed star represents the five historical Somali territories."
Somaliland,,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Somaliland.svg,Hargeisa,5700000,137600,Somali,Africa,Self-declared Republic,"Declared independence from Somalia in 1991 and operates as a stable de facto state with its own elections, currency, and military — yet remains unrecognized by any UN member state."
South Africa,🇿🇦,,Cape Town,60414495,1221037,Afrikaans,Africa,Country,"The only country to have voluntarily built then dismantled its nuclear weapons; its flag features more colors than any other national flag."
South Korea,🇰🇷,,Seoul,51784059,100210,Korean,Asia,Country,"The Taegukgi flag's yin-yang represents cosmic balance; South Korea transformed from one of the world's poorest economies to a trillion-dollar powerhouse in a single generation."
South Sudan,🇸🇸,,Juba,11088796,644329,English,Africa,Country,"The world's newest country having gained independence from Sudan in 2011; the gold star on its flag symbolizes the unity of its states."
Spain,🇪🇸,,Madrid,47519628,505992,Spanish,Europe,Country,"The Pillars of Hercules on its coat of arms represent the entrance to the Mediterranean at Gibraltar; Spain has the second-most UNESCO World Heritage Sites in Europe."
Sri Lanka,🇱🇰,,Colombo,23103565,65610,Sinhala,Asia,Country,"The Lion Flag is over 2,500 years old — one of the world's oldest national symbols; Sri Lanka was one of the first countries in the world to elect a female head of government in 1960."
Sudan,🇸🇩,,Khartoum,48109006,1861484,Arabic,Africa,Country,"Sudan has more ancient pyramids than Egypt — over 200 Nubian pyramids scattered across the desert; the Nile River flows through its heart."
Suriname,🇸🇷,,Paramaribo,618040,163820,Dutch,Americas,Country,"The only sovereign state outside Africa where the majority of the population is of Indian and Indonesian descent; the green star on its flag represents unity and hope."
Sweden,🇸🇪,,Stockholm,10612086,450295,Swedish,Europe,Country,"Home to global brands Ikea, H&M, Spotify, and Minecraft; the Nordic Cross on its blue-and-gold flag is one of Scandinavia's oldest cross design traditions."
Switzerland,🇨🇭,,Bern,8796669,41285,German,Europe,Country,"Has been officially neutral in international conflicts since 1815; it is one of only two square national flags in the world — the other being Vatican City."
Syria,🇸🇾,,Damascus,23227014,185180,Arabic,Asia,Country,"Home to Damascus — one of the world's oldest continuously inhabited cities; the two green stars on its flag represent Syria and Egypt from the era of the United Arab Republic."
Taiwan,🇹🇼,,Taipei,23923276,36193,Mandarin,Asia,Country,"Officially the Republic of China; the blue canton with 12-point white sun on its flag was once the symbol of all China — the 12 points represent the 12 hours of the day."
Tajikistan,🇹🇯,,Dushanbe,10143543,143100,Tajik,Asia,Country,"Home to the Pamir Mountains known as the 'Roof of the World'; the seven stars on its flag represent the seven days of the week and the seven regions of the country."
Tanzania,🇹🇿,,Dodoma,67438106,947300,Swahili,Africa,Country,"Home to Kilimanjaro (Africa's highest peak) and the Serengeti (site of the world's largest mammal migration); its name combines Tanganyika and Zanzibar."
Thailand,🇹🇭,,Bangkok,71801279,513120,Thai,Asia,Country,"The only Southeast Asian country never colonized by a European power; the red-white-blue tricolor was adopted in 1917 partly to show solidarity with WWI allies."
Tibet,,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tibet.svg,Lhasa,3500000,1228400,Tibetan,Asia,Autonomous Region,"The Tibetan Snow Lion flag — featuring two lions and a rising sun — is banned in China; Tibet's plateau averages over 4,500 meters in elevation making it the world's highest region."
Togo,🇹🇬,,Lomé,8848699,56785,French,Africa,Country,"The five stars on its flag represent the five administrative regions; Togo was one of the first African countries to hold multi-party elections in the early 1990s."
Tonga,🇹🇴,,Nuku'alofa,107773,747,Tongan,Oceania,Country,"The only Pacific nation that was never formally colonized; the red cross on its flag reflects the centrality of Christianity in Tongan culture and identity."
Trinidad and Tobago,🇹🇹,,Port of Spain,1534937,5128,English,Americas,Country,"The birthplace of both calypso music and the steel drum; the black diagonal stripe on its flag represents the islands and the unity of the people."
Tunisia,🇹🇳,,Tunis,12458223,163610,Arabic,Africa,Country,"Was the center of the ancient Carthaginian Empire and Rome's greatest rival; the crescent and star on its flag have been regional symbols for over 800 years."
Turkey,🇹🇷,,Ankara,85326000,783562,Turkish,Asia,Country,"The only country that bridges two continents (Europe and Asia); the crescent and star on its flag are ancient symbols used in Anatolia long before the Ottoman era."
Turkmenistan,🇹🇲,,Ashgabat,6201943,488100,Turkmen,Asia,Country,"One of the world's most isolated states; the ornate carpet pattern on its flag is unique among all national flags and represents a 2,800-year-old weaving tradition."
Tuvalu,🇹🇻,,Funafuti,11396,26,Tuvaluan,Oceania,Country,"The nine stars on its flag represent its nine inhabited atolls; Tuvalu may become one of the first countries entirely uninhabitable due to rising sea levels."
Uganda,🇺🇬,,Kampala,48582334,241550,English,Africa,Country,"Home to half of the world's remaining mountain gorilla population; the grey crowned crane on its flag is a symbol of peace found only in eastern and southern Africa."
Ukraine,🇺🇦,,Kyiv,37860221,603550,Ukrainian,Europe,Country,"The largest country entirely within Europe; the blue-and-yellow flag represents the sky over fields of wheat — Ukraine was historically known as the 'breadbasket of Europe.'"
United Arab Emirates,🇦🇪,,Abu Dhabi,9516871,83600,Arabic,Asia,Country,"Built from desert into a global hub in just 50 years; its flag's four colors (black, white, green, red) are the traditional Pan-Arab colors."
United Kingdom,🇬🇧,,London,67791400,243610,English,Europe,Country,"The Union Jack combines three crosses — St. George (England), St. Andrew (Scotland), and St. Patrick (Ireland); Britain industrialized first and once governed one-quarter of the world's land area."
United States,🇺🇸,,Washington D.C.,341814420,9833517,English,Americas,Country,"The 50 stars on its flag represent each state; the US flag has been modified 27 times — most recently in 1960 when Hawaii became the 50th state."
Uruguay,🇺🇾,,Montevideo,3423108,176215,Spanish,Americas,Country,"The first country to legalize cannabis nationwide; the 'Sun of May' on its flag mirrors Argentina's revolutionary symbol honoring shared independence movements."
Uzbekistan,🇺🇿,,Tashkent,35163944,447400,Uzbek,Asia,Country,"Home to Samarkand — one of the world's oldest cities and the jewel of the ancient Silk Road; the 12 stars on its flag represent the months of the year."
Vanuatu,🇻🇺,,Port Vila,334506,12189,Bislama,Oceania,Country,"The only country in the world to feature a boar's tusk on its national flag — a symbol of wealth and manhood in Melanesian culture."
Vatican City,🇻🇦,,Vatican City,825,0,Italian,Europe,Country,"The world's smallest sovereign state by both area and population; it is one of only two countries with a perfectly square flag — the other being Switzerland."
Venezuela,🇻🇪,,Caracas,28838499,912050,Spanish,Americas,Country,"Birthplace of Simón Bolívar who liberated six South American nations; the eight stars on its flag represent the original provinces that signed its Declaration of Independence."
Vietnam,🇻🇳,,Hanoi,98858950,331212,Vietnamese,Asia,Country,"The gold star on its flag represents the Communist Party and the country's five main social classes; Vietnam contains Hang Sơn Đoòng — the world's largest cave."
Wales,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Flag_of_Wales.svg,Cardiff,3200000,20779,Welsh,Europe,Constituent Nation,"The red dragon (Y Ddraig Goch) on its flag is one of the oldest national symbols in Europe; Wales has more castles per square mile than any other country in the world."
Western Sahara,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Flag_of_Western_Sahara.svg,Laayoune,570000,266000,Arabic,Africa,Disputed Territory,"Africa's last major unresolved territorial dispute; the Sahrawi Arab Democratic Republic claims sovereignty while Morocco administers most of the territory."
Yemen,🇾🇪,,Sana'a,34449825,527968,Arabic,Asia,Country,"Formerly two separate countries (North and South Yemen) until unification in 1990; it is home to Socotra Island — a UNESCO site sometimes called the 'Galápagos of the Indian Ocean.'"
Zambia,🇿🇲,,Lusaka,20017675,752612,English,Africa,Country,"The flying eagle on its flag represents the ability of the Zambian people to rise above adversity; it has some of Africa's richest copper deposits."
Zanzibar,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Zanzibar.svg,Zanzibar City,1900000,2462,Swahili,Africa,Autonomous Region,"A semi-autonomous region of Tanzania; it was historically the world's largest clove producer and briefly an independent sultanate before merging with Tanganyika in 1964."
Zimbabwe,🇿🇼,,Harare,16665409,390757,English,Africa,Country,"Named after Great Zimbabwe — a medieval stone city built without mortar; the Zimbabwe Bird on its flag depicts soapstone carvings found at those ancient ruins."
